linkid,Region_of_Origin,District_of_Origin,County_of_Origin,Average_Daily_SeniorPopulation_Travelling,key_bus_road,distance_bus_road,key_cascais,distance_cascais,key_metro,distance_metro,key_train,distance_train,key_oeiras,distance_oeiras,linkid_county
708763114,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,20.127658438601166,101806,3.4294741007154537,Carnide,25.932803155307628,cascais,5.789560726610267,889,13.364253643802595,Cascais
708763115,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,537321129,19.878761110054494,101806,3.2511119413185723,Carnide,25.75312239517678,cascais,5.511953057816008,889,13.097446133279405,Cascais
708763115,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,19.878761110054494,101806,3.2511119413185723,Carnide,25.75312239517678,cascais,5.511953057816008,889,13.097446133279405,Cascais
708763116,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,20.042219259580733,101806,3.3748390305683875,Carnide,25.88071645185568,cascais,5.688792814264804,889,13.269650978307581,Cascais
708763116,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,537321129,20.042219259580733,101806,3.3748390305683875,Carnide,25.88071645185568,cascais,5.688792814264804,889,13.269650978307581,Cascais
877275704,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,537321129,19.721507503975907,101806,3.132903022705129,Carnide,25.625457158778378,cascais,5.345178355107339,889,12.933428119988168,Cascais
877275704,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,19.721507503975907,101806,3.132903022705129,Carnide,25.625457158778378,cascais,5.345178355107339,889,12.933428119988168,Cascais
877275729,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,20.153166675451587,101806,3.4388526059417064,Carnide,25.938262935607447,cascais,5.825722344460879,889,13.39572779205328,Cascais
877275730,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,537321129,20.152486677860146,101806,3.4050670603592703,Carnide,25.88762874127851,cascais,5.856531486055211,889,13.411298568043694,Cascais
877275730,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,20.152486677860146,101806,3.4050670603592703,Carnide,25.88762874127851,cascais,5.856531486055211,889,13.411298568043694,Cascais
877275740,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,20.06813378985584,101806,3.29325687370974,Carnide,25.74016676641245,cascais,5.822244430392226,889,13.349966658739822,Cascais
895414937,R1 - AM Lisboa,Lisboa,Cascais,978.157342,537321129,19.902003538999832,101806,3.1169918267131167,Carnide,25.50650156054965,cascais,5.723878901041535,889,13.21153900133766,Cascais
