address_street,signal_count,address_street_mapped
 KING STREET EAST,13,KING ST E
 KING STREET WEST,8,KING ST W
 WEBER STREET EAST,7,WEBER ST E
 FAIRWAY ROAD SOUTH,7,FAIRWAY RD S
 RIVER ROAD EAST,7,RIVER RD E
 VICTORIA STREET NORTH,7,VICTORIA ST N
 FISCHER-HALLMAN ROAD,6,FISCHER-HALLMAN RD 
 KITCHENER,6,KITCHENER  
 COURTLAND AVENUE EAST,6,COURTLAND AV E
 OTTAWA STREET SOUTH,5,OTTAWA ST S
 BELMONT AVENUE WEST,5,BELMONT AV W
 LANCASTER STREET WEST,5,LANCASTER ST W
 WEBER STREET WEST,4,WEBER ST W
 STRASBURG ROAD,4,STRASBURG RD 
 FREDERICK STREET,4,FREDERICK ST 
 QUEEN STREET SOUTH,4,QUEEN ST S
 OTTAWA STREET NORTH,4,OTTAWA ST N
 MARGARET AVENUE,4,MARGARET AV 
 QUEEN'S BOULEVARD,3,QUEEN'S BLVD 
 HIGHLAND ROAD WEST,3,HIGHLAND RD W
 DOON,3,DOON  
 SPORTSWORLD DRIVE,3,SPORTSWORLD DV 
 WESTMOUNT ROAD WEST,3,WESTMOUNT RD W
 VICTORIA STREET SOUTH,3,VICTORIA ST S
 TRUSSLER ROAD,3,TRUSSLER RD 
 WATER STREET NORTH,2,WATER ST N
 EDNA STREET,2,EDNA ST 
 MANITOU DRIVE,2,MANITOU DV 
 WESTMOUNT ROAD EAST,2,WESTMOUNT RD E
 WESTHEIGHTS DRIVE,2,WESTHEIGHTS DV 
 WELLINGTON STREET NORTH,2,WELLINGTON ST N
 PARK STREET,2,PARK ST 
 QUEEN STREET NORTH,2,QUEEN ST N
 BENTON STREET,2,BENTON ST 
 REGION OF WATERLOO,2,REGION OF WATERLOO
 SCOTT STREET,2,SCOTT ST 
 JOSEPH STREET,2,JOSEPH ST 
 TRILLIUM DRIVE,2,TRILLIUM DV 
 DOON VILLAGE ROAD,2,DOON VILLAGE RD
 CHARLES STREET WEST,2,CHARLES ST W
 EASTFOREST TRAIL,2,EASTFOREST TL 
 STONEHAVEN DRIVE,2,STONEHAVEN DV 
 BRUCE STREET,2,BRUCE ST 
 CHARLES STREET EAST,2,CHARLES ST E
 STIRLING AVENUE SOUTH,2,STIRLING AV S
 WILSON AVENUE,1,WILSON AV 
 ONTARIO STREET NORTH,1,ONTARIO ST N
 LAWRENCE AVENUE,1,LAWRENCE AV 
 MCGARRY DRIVE,1,MCGARRY DV 
 MILL STREET,1,MILL ST 
 NEW DUNDEE ROAD,1,NEW DUNDEE RD
 WINDFLOWER DRIVE,1,WINDFLOWER DV 
 YOUNG STREET,1,YOUNG ST 
 STRANGE STREET,1,STRANGE ST 
 SHELLEY DRIVE,1,SHELLEY DV 
 ONTARIO STREET SOUTH,1,ONTARIO ST S
 OVERLEA CRESCENT,1,OVERLEA CRES 
 STOKE DRIVE,1,STOKE DV 
 PATRICIA AVENUE,1,PATRICIA AV 
 PIONEER DRIVE,1,PIONEER DV 
 WATER STREET SOUTH,1,WATER ST S
 TREMAINE DRIVE,1,TREMAINE DV 
 KINZIE AVENUE,1,KINZIE AV 
 UNION BOULEVARD,1,UNION BLVD 
 SPADINA ROAD EAST,1,SPADINA RD E
 TEMPLEWOOD DRIVE,1,TEMPLEWOOD DV 
 105,1,105  
 KINGSWOOD DRIVE,1,KINGSWOOD DV 
 DUKE STREET WEST,1,DUKE ST W
 CENTURY HILL DRIVE,1,CENTURY HILL DV
 CEDAR STREET SOUTH,1,CEDAR ST S
 CEDAR STREET NORTH,1,CEDAR ST N
 CARWOOD AVENUE,1,CARWOOD AV 
 CAMERON STREET SOUTH,1,CAMERON ST S
 CAMERON STREET NORTH,1,CAMERON ST N
 BRAMBLEWOOD STREET,1,BRAMBLEWOOD ST 
 BORDEN AVENUE SOUTH,1,BORDEN AV S
 BORDEN AVENUE NORTH,1,BORDEN AV N
 BLEAMS ROAD,1,BLEAMS RD 
 BEASLEY DRIVE,1,BEASLEY DV 
 BATTLER ROAD,1,BATTLER RD 
 99,1,99  
 911,1,911  
 787,1,787  
 777,1,777  
 760,1,760  
 371,1,371  
 255,1,255  
 250,1,250  
 1250,1,1250  
 DOMINION STREET,1,DOMINION ST 
 EAGEN DRIVE,1,EAGEN DV 
 KINGSWAY DRIVE,1,KINGSWAY DV 
 EAST AVENUE,1,E AV 
 KING STREET SOUTH,1,KING ST S
 KEEWATIN AVENUE,1,KEEWATIN AV 
 JUBILEE DRIVE,1,JUBILEE DV 
 11,1,11  
 HOWLAND DRIVE,1,HOWLAND DV 
 HOMER WATSON BOULEVARD,1,HOMER WATSON BLVD
 HOLBORN DRIVE,1,HOLBORN DV 
 HOFFMAN STREET,1,HOFFMAN ST 
 HIGHLAND CRESCENT,1,HIGHLAND CRES 
 HIGHBROOK STREET,1,HIGHBROOK ST 
 HERITAGE DRIVE,1,HERITAGE DV 
 HAZELGLEN DRIVE,1,HAZELGLEN DV 
 GREENBROOK DRIVE,1,GREENBROOK DV 
 GAUKEL STREET,1,GAUKEL ST 
 FREEPORT,1,FREEPORT  
 FRANKLIN STREET SOUTH,1,FRANKLIN ST S
 FRANKLIN STREET NORTH,1,FRANKLIN ST N
 FORWELL ROAD,1,FORWELL RD 
 FERGUS AVENUE,1,FERGUS AV 
 FAIRWAY ROAD NORTH,1,FAIRWAY RD N
 ELM RIDGE DRIVE,1,ELM RIDGE DV
 ZELLER DRIVE,1,ZELLER DV 
